    209 Dido              -           8.24  0.15   159.94  0.0349 - -                  5.7366     - 0.11 0.33 3  -     Y - - -
    210 Isabella          -           9.33  0.15    86.65  0.0436 - -                  6.672      - 0.09 0.38 3  -     Y - - -
    211 Isolda            -           7.9   0.12   142.99  0.0598 - -                 18.365      - 0.09 0.14 3  -     Y - - -
    212 Medea             -           8.18  0.09   136.10  0.0510 - -                 10.283      - 0.03 0.16 3  -     Y - - -
    213 Lilaea            -           8.64  0.15    83.01  0.0897 - -                  8.045      - 0.07 0.20 3  -     - - - -
    214 Aschera           -           9.2   0.15    23.90  0.6461 - -                  6.835      - 0.20 0.22 3  -     Y - - -
    215 Oenone            -           9.4   0.15    35.78  0.2397 - -                 27.937      - 0.18 0.20 3  -     - - - -
    216 Kleopatra         -           7.35  0.28   137.79  0.1068 - -                  5.385      - 0.12 1.22 3  -     Y M - -
    217 Eudora            -           9.8   0.15    66.24  0.0484 - -                 25.272      - 0.08 0.31 3  -     - - - -
    218 Bianca            -           8.61  0.31    56.73  0.1979 - -                  6.337      - 0.05 0.27 3  -     Y - - -
    219 Thusnelda         -           9.34  0.23    38.28  0.2214 - -                 59.74       - 0.19 0.24 3  -     - - - -
    220 Stephania         -          11.2   0.15    31.04  0.0607 - -                 18.198      - 0.21 0.45 3  -     Y - - -
    221 Eos               -           7.67  0.13   103.87  0.1400 - -                 10.443      - 0.05 0.12 3  -     Y - - -
    222 Lucia             -           9.13  0.15    54.66  0.1318 - -                  7.80       - 0.25 0.38 3  -     Y - - -
    223 Rosa              -           9.68  0.15    87.61  0.0309 - -                 20.283      - 0.06 0.13 3  -     - - - -
    224 Oceana            -           8.59  0.15    61.82  0.1694 - -                  9.401      - 0.09 0.14 3  -     - - - -
    225 Henrietta         -           8.72  0.15   120.49  0.0396 - -                  7.3556     - 0.16 0.29 3  -     Y - - -
    226 Weringia          -           9.82  0.23    37.15  0.151  - -                 11.147      - 0.08 0.38 3  -     Y - - -
    227 Philosophia       -           9.1   0.15    86.90  0.0536 - -                 52.98       - 0.06 0.20 2  A     - - - -
    228 Agathe            -          12.48  0.15     9.30  0.2082 - -                  6.484      - -.99 0.27 3  -     - - - -
    229 Adelinda          -           9.13  0.15    93.20  0.0453 - -                  6.60       - 0.04 0.30 3  -     - - - -
    230 Athamantis        -           7.35  0.272  109.03  0.1713 - -                 24.0055     - 0.03 0.26 3  -     Y - - -
